"FIRM","PLATFORM_NAME","STRATEGY","SHARE_CLASS","TICKER","INVESTMENT_TYPE","ADDED_DATE","PLATFORM_TYPE","PLATFORM_DEF","IPD_NAME","NAM_NAME","CLEARING_FIRM"
"ADVISOR GROUP","Advisor Managed Portfolios","All Franklin Templeton ETFs"," ","","ETF",0,"Rep as PM","Rep as PM- Advisor Discretionary Portfolios, can leverage guidance models or create their own. Mutual Funds, SMAs, ETFs, Stocks Bonds, Variable Annuities, 50k account minimum","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Advisor Managed Portfolios","All Franklin Templeton Mutual Funds (Adv Share Class)"," ","","Mutual Fund",0,"Rep as PM","Rep as PM- Advisor Discretionary Portfolios, can leverage guidance models or create their own. Mutual Funds, SMAs, ETFs, Stocks Bonds, Variable Annuities, 50k account minimum","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Brokerage","All Franklin Templeton ETFs"," ","","ETF",0,"Brokerage","Open Archtecture commision based Brokerage Platform- Mutual Funds, ETFs, Individual Securities, clearing through Pershing (have legacy business at National Financial)","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Brokerage","All Franklin Templeton Mutual Funds (A and C Share Class)"," ","","Mutual Fund",0,"Brokerage","Open Archtecture commision based Brokerage Platform- Mutual Funds, ETFs, Individual Securities, clearing through Pershing (have legacy business at National Financial)","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Direct Choice","All Franklin Templeton Mutual Funds (A and C Share Class)"," ","","Mutual Fund",0,"Brokerage","Mutual Fund Only Brokerage","Brooke Leahy","John Beaulieu","National Financial"
"ADVISOR GROUP","Direct Choice","All Franklin Templeton Mutual Funds (A and C Share Class)"," ","","Mutual Fund",0,"Brokerage","Mutual Fund Only Brokerage","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","Mutual Fund Reference List","Franklin Federal Intermediate-Term Tax-Free Income Fund","A","FKQTX","Mutual Fund",0,"Recommended List","Recommended Mutual Funds for all platforms","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","Mutual Fund Reference List","Franklin High Income Fund","A","FHQRX","Mutual Fund",0,"Recommended List","Recommended Mutual Funds for all platforms","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","Mutual Fund Reference List","Franklin Small Cap Growth Fund","A","FSGRX","Mutual Fund",0,"Recommended List","Recommended Mutual Funds for all platforms","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","Mutual Fund Reference List","Templeton Global Bond Fund","A","TPINX","Mutual Fund",0,"Recommended List","Recommended Mutual Funds for all platforms","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","Research Guidance Models","Templeton Global Bond Fund","Advisor","TGBAX","Mutual Fund",0,"Home Office Discretionary","Recommended Model Allocations by Home Office Research","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Franklin Intermediate Fixed Income SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Franklin Intermediate Municipal SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Franklin Rising Dividends SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Templeton Foreign Equity SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Templeton International Equity SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","Templeton Templeton Global Equity SMA"," ","SMA","SMA",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu"," "
"ADVISOR GROUP","SMA Platform","All Franklin Templeton ETFs"," ","","ETF",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","SMA Platform","All Franklin Templeton Mutual Funds (Adv Share Class)"," ","","Mutual Fund",0,"SMA","SMA platform but also consists of Mutual Funds and ETFs. FT SMAs available thorugh Envestnet are available here","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","UMA","All Franklin Templeton ETFs"," ","","ETF",0,"UMA","Fee based platform, Mutual Funds, ETFs, SMAs, Third Party Strategist Portfolios from GWP Platform","Brooke Leahy","John Beaulieu","Pershing"
"ADVISOR GROUP","UMA","All Franklin Templeton Mutual Funds (Adv Share Class)"," ","","Mutual Fund",0,"UMA","Fee based platform, Mutual Funds, ETFs, SMAs, Third Party Strategist Portfolios from GWP Platform","Brooke Leahy","John Beaulieu","Pershing"
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin Liberty Intermediate Municipal Opportunities ETF"," ","FLMI","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin Liberty Investment Grade Corporate ETF"," ","FLCO","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin Liberty Municipal Bond ETF"," ","FLMB","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin Liberty Short Duration U.S. Government ETF"," ","FTSD","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin Liberty U.S. Low Volatility ETF"," ","FLLV","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin LibertyQ Emerging Markets ETF"," ","FLQE","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin LibertyQ Global Dividend ETF"," ","FLQD","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin LibertyQ Global Equity ETF"," ","FLQG","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin LibertyQ International Equity Hedged ETF"," ","FLQH","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin LibertyQ U.S. Equity ETF"," ","FLQL","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin LibertyQ U.S. Mid Cap Equity ETF"," ","FLQM","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","Franklin LibertyQ U.S. Small Cap Equity ETF"," ","FLQS","ETF",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Choice","All Franklin Templeton Mutual Funds (Adv Share Class)"," ","","Mutual Fund",0,"Rep as PM","Fee Based, Rep as PM, Open Architecture"," ","OPEN","Pershing"
"AMERICAN PORTFOLIOS","9 Points- Advisor Solutions","Franklin Growth Fund","Advisor","FCGAX","Mutual Fund",0,"Home Office Discretionary","Fee based, Home Office Discretionary and Third Party Strategist Models"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Solutions","Franklin K2 Alternative Strategies Fund","Advisor","FABZX","Mutual Fund",0,"Home Office Discretionary","Fee based, Home Office Discretionary and Third Party Strategist Models"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Solutions","Franklin Templeton PMC ActivePassive Portfolios"," ","","FT Branded Model",0,"Home Office Discretionary","Fee based, Home Office Discretionary and Third Party Strategist Models"," ","OPEN"," "
"AMERICAN PORTFOLIOS","9 Points- Advisor Solutions","FTMAS Outcome Based Models -A Class Funds &ETFS"," ","","FT Branded Model",0,"Home Office Discretionary","Fee based, Home Office Discretionary and Third Party Strategist Models"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin Liberty Intermediate Municipal Opportunities ETF"," ","FLMI","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin Liberty Investment Grade Corporate ETF"," ","FLCO","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin Liberty Municipal Bond ETF"," ","FLMB","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin Liberty Short Duration U.S. Government ETF"," ","FTSD","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin Liberty U.S. Low Volatility ETF"," ","FLLV","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin LibertyQ Emerging Markets ETF"," ","FLQE","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin LibertyQ Global Dividend ETF"," ","FLQD","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin LibertyQ Global Equity ETF"," ","FLQG","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin LibertyQ International Equity Hedged ETF"," ","FLQH","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin LibertyQ U.S. Equity ETF"," ","FLQL","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin LibertyQ U.S. Mid Cap Equity ETF"," ","FLQM","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","Franklin LibertyQ U.S. Small Cap Equity ETF"," ","FLQS","ETF",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN"," "
"AMERICAN PORTFOLIOS","Brokerage","All Franklin Templeton Mutual Funds (A and C Share Class)"," ","","Mutual Fund",0,"Brokerage","Commission Based Brokerage Business clearing through Pershing"," ","OPEN","Pershing"
"AMERIPRISE","Brokerage","Franklin Adjustable U.S. Government Securities Fund","A","FISAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Alabama Tax-Free Income Fund","A","FALQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Arizona Tax-Free Income Fund","A","FAZQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Biotechnology Discovery Fund","A","FBDIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin California High Yield Municipal Fund","A","FCQAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin California Intermediate-Term Tax-Free Income Fund","A","FCCQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin California Tax-Free Income Fund","A","FTFQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Colorado Tax-Free Income Fund","A","FCOQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Connecticut Tax-Free Income Fund","A","FQCTX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Conservative Allocation Fund","A","FTCIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Corefolio Allocation Fund","A","FTCOX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin DynaTech Fund","A","FKDNX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Equity Income Fund","A","FISEX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Federal Intermediate-Term Tax-Free Income Fund","A","FKQTX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Federal Limited-Term Tax-Free Income Fund","A","FFLQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Federal Tax-Free Income Fund","A","FFQAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Floating Rate Daily Access Fund","A","FAFRX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Florida Tax-Free Income Fund","A","FQFLX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Founding Funds Allocation Fund","A","FFALX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Georgia Tax-Free Income Fund","A","FGAQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Gold and Precious Metals Fund","A","FKRCX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Growth Allocation Fund","A","FGTIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Growth Fund","A","FKGRX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Growth Opportunities Fund","A","FGRAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin High Yield Tax-Free Income Fund","A","FHYQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Income Fund","A","FKIQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin International Growth Fund","A","FNGAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin International Small Cap Fund","Advisor","FKSCX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin K2 Alternative Strategies Fund","Advisor","FABZX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Kentucky Tax-Free Income Fund","A","FRKQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin LibertyQ Emerging Markets ETF"," ","FLQE","ETF",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Louisiana Tax-Free Income Fund","A","FQLAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Low Duration Total Return Fund","A","FLDAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Managed Income Fund","A","FBLAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Maryland Tax-Free Income Fund","A","FQMDX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Massachusetts Tax-Free Income Fund","A","FMAQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Michigan Tax-Free Income Fund","A","FMQTX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Minnesota Tax-Free Income Fund","A","FMNQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Missouri Tax-Free Income Fund","A","FMQOX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Moderate Allocation Fund","A","FMTIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Mutual Beacon Fund","A","TEBIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Mutual European Fund","A","TEMIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Mutual Financial Services Fund","A","TFSIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Mutual Global Discovery Fund","A","TEDIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Mutual Quest Fund","A","TEQIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Mutual Shares Fund","A","TESIX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Mutual U.S. Value Fund","A","FRBSX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Natural Resources Fund","A","FRNRX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin New Jersey Tax-Free Income Fund","A","FNJQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin New York Intermediate-Term Tax-Free Income Fund","A","FKNQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin New York Tax-Free Income Fund","A","FNYQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin North Carolina Tax-Free Income Fund","A","FQNCX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Ohio Tax-Free Income Fund","A","FOHQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Oregon Tax-Free Income Fund","A","FOFQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Pennsylvania Tax-Free Income Fund","A","FPAQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Real Estate Securities Fund","A","FREEX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Rising Dividends Fund","A","FRDPX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Small Cap Growth Fund","A","FSGRX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Small Cap Value Fund","A","FRVLX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Small-Mid Cap Growth Fund","A","FRSGX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Strategic Income Fund","A","FRSTX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Tennessee Municipal Bond Fund","A","FTQMX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Total Return Fund","A","FKBAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin U.S. Government Securities Fund","A","FKFSX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Utilities Fund","A","FKUQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Franklin Virginia Tax-Free Income Fund","A","FVAQX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton China World Fund","A","TCWAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton Developing Markets Trust","A","TEDMX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton Emerging Markets Small Cap Fund","A","TEMMX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton Foreign Fund","A","TEMFX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton Global Balanced Fund","A","TAGBX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton Global Bond Fund","A","TPINX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton Global Smaller Companies Fund","A","TEMGX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton Global Total Return Fund","A","TGTRX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton Growth Fund, Inc.","A","TEPLX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton International Bond Fund","A","TBOAX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Brokerage","Templeton World Fund","A","TEMWX","Mutual Fund",0,"Brokerage","Brokerage Platform (commission based)- self clearing","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Select Separate Account","Franklin Intermediate Fixed Income SMA"," ","SMA","SMA",0,"SMA","SMA Platform","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","Select Separate Account","Franklin Intermediate Municipal SMA"," ","SMA","SMA",0,"SMA","SMA Platform","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","SPS Advantage","Franklin Adjustable U.S. Government Securities Fund","Advisor","FAUZX","Mutual Fund",0,"Rep as Advisor","Rep as Advisor- Client Discretionary","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","SPS Advantage","Franklin Alabama Tax-Free Income Fund","Advisor","FALZX","Mutual Fund",0,"Rep as Advisor","Rep as Advisor- Client Discretionary","Mary Catherine Mortell","John Beaulieu"," "
"AMERIPRISE","SPS Advantage","Franklin Arizona Tax-Free Income Fund","Advisor","FAZZX","Mutual Fund",0,"Rep as Advisor","Rep as Advisor- Client Discretionary","Mary Catherine Mortell","John Beaulieu"," "
